,,MONGODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASSANDRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIADB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUERY2,db25,11.16666667,116.4,10.26666667,1.00277393,6.755738302,0.679869268,0.358831449,2.417465481,0.243283623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db50,21.6,221.3,21.1,1.356465997,6.832032396,1.193035345,0.485396203,2.444766471,0.42691437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db75,33.13333333,332.1,32.83333333,2.801586852,8.203048214,1.213351648,1.002516558,2.935369165,0.434184333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db100,41.7,456.6,46.56666667,2.223360819,12.50493236,3.293259108,0.795604831,4.474750349,1.178455982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUERY3,db25,12.6,111.9,11.66666667,1.872609587,5.281098371,1.490711985,0.670092421,1.889782055,0.533434631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db50,22.8,219.8,21.86666667,1.375984496,9.045809343,1.802467445,0.49238068,3.23694182,0.644992839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db75,33.16666667,328,31.53333333,1.392439905,9.433981132,1.783878421,0.498269065,3.375844759,0.638340965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db100,43.36666667,447.8,43.7,2.167692065,9.141115906,1.268857754,0.77568439,3.271046209,0.454046573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUERY4,db25,12.5,118.3666667,10,1.335415042,5.941286804,0,0.477863354,2.126023111,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db50,23.63333333,232.9,15,1.168569876,8.247625921,0,0.418159676,2.951320799,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db75,35.1,342.6666667,21,1.468559385,5.36863318,0,0.52550757,1.921105409,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,db100,45.9,469.3666667,26,1.619670748,8.376488259,0,0.579581084,2.997432748,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
